,cctv 개수,total,경사도1,광로개수,구별 장애인 명수,대로,버스정류장 개수,불량산책로,소로,역갯수,주민자치단체개수,중로
0,2,18.0,27.56824493,1,7960,0,5,0,5,0,2,0
1,0,10.0,36.43975449,1,10542,0,0,0,0,0,0,0
2,3,15.0,29.50819397,1,10542,0,0,0,1,0,1,1
3,3,15.0,15.61612988,1,10542,0,3,0,1,0,1,2
4,2,7.0,8.380190849,0,17490,0,2,0,1,0,0,1
5,0,14.0,19.59573746,0,12551,0,10,0,1,0,0,1
6,1,12.0,37.03876877,0,20265,0,15,0,0,0,0,1
7,1,73.0,4.763641834,0,12951,6,10,0,1,0,0,4
8,0,72.0,9.462322235,0,18280,0,11,0,5,0,0,4
9,4,101.0,0.0,0,14539,3,8,0,6,0,1,1
10,0,6.0,29.77231026,0,11390,0,2,0,2,0,0,1
11,1,112.0,6.926249027,0,17558,0,5,0,1,1,0,1
12,0,102.0,10.55538082,0,18280,0,8,0,9,0,0,1
13,6,5.0,6.926249027,1,15200,1,1,0,3,0,0,3
14,6,5.0,6.926249027,1,15200,1,1,0,3,0,0,3
15,6,5.0,6.926249027,1,15200,1,1,0,3,0,0,3
16,0,73.0,9.462322235,0,14607,1,7,0,5,0,0,1
17,3,74.0,22.72124481,0,12951,5,11,0,8,1,0,5
18,7,143.0,4.763641834,0,12951,7,5,0,2,1,2,6
19,5,173.0,15.53334236,0,28727,1,9,0,2,1,1,1
20,0,26.0,22.46655655,0,28727,0,19,0,2,0,0,0
21,0,26.0,22.46655655,0,28727,0,19,0,2,0,0,0
22,0,104.0,16.41643906,1,12951,0,9,0,13,0,1,5
23,8,48.0,11.65326214,0,6015,2,12,0,10,0,0,3
24,4,44.0,11.17998695,0,10542,1,6,0,0,0,2,0
25,2,8.0,28.08409882,0,17490,0,4,0,1,0,0,1
26,0,23.0,29.06979752,0,14607,0,9,0,8,0,0,7
27,7,251.0,13.36220074,1,18307,0,9,0,12,1,1,5
28,3,147.0,8.543726921,0,14539,3,8,0,5,0,1,3
29,0,6.0,35.28781891,0,12551,0,8,0,2,0,0,0
30,1,225.0,13.36220074,0,15200,0,6,0,0,0,0,0
31,1,188.0,5.051152229,0,28727,0,11,0,0,0,0,0
32,2,87.0,11.17998695,0,12551,1,6,0,3,0,0,1
33,2,104.0,5.322853088,0,20394,2,6,0,0,0,0,3
34,1,79.0,3.769243717,0,20286,2,11,0,1,0,0,3
35,0,0.0,21.83781242,0,17441,0,4,0,16,0,1,1
36,0,74.0,32.00538254,0,12551,0,8,0,2,0,0,1
37,2,24.0,0.0,0,28727,0,10,0,23,0,0,50
38,1,62.0,0.0,0,15436,2,5,2,5,0,2,1
39,6,5.0,6.926249027,1,15200,1,1,0,3,0,0,3
40,0,6.0,35.28781891,0,12551,0,8,0,2,0,0,0
41,4,0.0,4.763641834,1,17441,1,10,0,22,0,0,7
42,0,43.0,1.687604904,0,20286,4,6,0,10,0,1,5
43,1,0.0,15.61612988,0,17441,2,11,0,16,0,0,2
44,0,28.0,12.10607338,0,27312,1,3,0,0,0,0,2
45,0,11.0,14.93838024,1,15200,1,2,0,1,0,0,3
46,1,103.0,1.687604904,1,14539,1,3,0,1,0,0,1
47,3,251.0,10.55538082,0,18307,1,8,0,15,1,1,2
48,4,29.0,6.926249027,0,15200,6,11,0,0,1,1,0
49,6,229.0,13.26267719,1,15200,0,0,0,0,0,1,0
50,3,74.0,13.36220074,0,12551,1,6,0,3,0,0,1
51,1,159.0,5.051152229,0,14539,4,9,0,3,0,0,1
52,7,253.0,8.380190849,0,15200,1,6,0,0,1,0,0
53,6,63.0,4.763641834,0,11412,4,11,0,5,0,0,0
54,0,13.0,21.83781242,0,14607,1,4,6,0,0,1,1
55,3,168.0,0.0,3,18280,3,9,0,21,0,1,8
56,6,5.0,6.926249027,1,15200,1,1,0,3,0,0,3
57,4,86.0,10.68350792,0,21773,2,10,0,27,0,0,4
58,0,27.0,9.015508652,0,27312,3,1,0,3,0,0,1
59,0,9.0,21.83781242,0,14607,1,4,4,0,0,1,1
60,6,52.0,10.55538082,0,12551,0,8,0,10,0,3,13
61,0,55.0,0.0,1,7960,0,6,0,2,1,0,8
62,1,4.0,39.80557251,2,11390,1,2,0,8,0,0,0
63,3,84.0,10.55538082,0,12551,1,9,0,3,0,0,1
64,0,54.0,6.063765049,0,15436,0,6,0,23,0,0,0
65,4,21.0,17.39022636,0,15436,1,7,0,3,0,0,1
66,3,77.0,44.71113205,2,12551,0,17,0,7,2,0,7
67,0,33.0,15.19676971,0,27312,0,8,0,7,0,0,2
68,0,27.0,9.015508652,0,27312,3,1,0,3,0,0,1
69,3,182.0,8.380190849,0,17490,4,8,0,48,1,1,2
70,3,80.0,6.721369743,1,14539,4,8,0,5,0,1,6
71,3,168.0,0.0,3,18280,2,9,0,19,0,0,6
72,0,4.0,21.83781242,0,14607,1,4,4,0,0,1,1
73,0,31.0,21.83781242,0,14607,1,4,4,0,0,1,1
74,0,6.0,42.10702515,0,12353,0,0,0,2,0,0,0
75,0,23.0,0.0,0,28727,0,5,0,23,0,0,3
77,6,5.0,6.926249027,1,15200,0,1,0,3,0,0,3
78,6,5.0,6.926249027,1,15200,1,1,0,3,0,0,3
79,5,137.0,38.32881927,1,10542,0,15,0,0,0,0,0
80,0,27.0,9.015508652,0,27312,3,1,0,3,0,0,1
81,3,46.0,16.41643906,2,12551,0,9,0,0,1,0,6
82,6,29.0,31.86169815,1,6015,0,1,2,14,0,0,0
83,0,122.0,24.16881371,0,20286,0,8,0,1,0,0,3
84,1,40.0,4.763641834,1,15200,1,4,1,0,0,1,1
85,6,212.0,13.26267719,1,15200,0,1,0,0,0,1,0
86,8,107.0,5.051152229,2,5700,3,5,2,10,0,0,6
87,3,32.0,4.763641834,0,15701,5,3,0,1,0,0,2
88,0,27.0,9.015508652,0,27312,3,1,0,3,0,0,1
89,0,53.0,17.39022636,0,27312,1,2,0,3,0,0,2
90,0,6.0,42.10702515,0,12353,0,0,0,2,0,0,0
91,1,56.0,8.380190849,1,12353,0,5,0,1,0,0,0
92,0,19.0,9.015508652,0,27312,3,1,0,3,0,0,1
93,3,125.0,3.769243717,0,14539,3,6,0,4,0,0,3
94,2,78.0,4.763641834,0,14607,3,8,1,2,0,0,3
95,3,87.0,4.763641834,1,12951,4,5,0,0,0,2,6
96,2,24.0,0.0,0,28727,0,10,0,23,0,0,50
97,1,83.0,17.6764946,0,20286,1,5,0,1,0,0,0
